n_centroids;step_size;cell_size;totalAvg;dataName
100;4;5;0.6785971741625663;2700270
100;4;5;0.5679196870534104;2710271
100;4;5;0.6931385089739204;2720272
100;4;5;0.6637091789645649;2730273
100;4;5;0.7045555776918274;2740274
100;4;5;0.6193651531561245;2750275
100;4;5;0.5661933133125568;2760276
100;4;5;0.599929876498394;2770277
100;4;5;0.6840496555881127;2780278
100;4;5;0.6226730485463555;2790279
100;4;5;0.7794342123748209;3000300
100;4;5;0.6987726750501387;3010301
100;4;5;0.6593829744490065;3020302
100;4;5;0.639187602326491;3030303
100;4;5;0.720197569746469;3040304
100;4;5;0.6797631508983317;3050305
100;4;5;0.6739329429198849;3060306
100;4;5;0.5742977644461208;3070307
100;4;5;0.6500547838859253;3080308
100;4;5;0.6381960912845401;3090309
100;4;7;0.7029055577728013;2700270
100;4;7;0.5711499587987717;2710271
100;4;7;0.6913227551234814;2720272
100;4;7;0.6812428364570301;2730273
100;4;7;0.7265386085058191;2740274
100;4;7;0.6198822864289537;2750275
100;4;7;0.581688817584612;2760276
100;4;7;0.5910306539169062;2770277
100;4;7;0.6942303931409235;2780278
100;4;7;0.6304653797423156;2790279
100;4;7;0.793829892773768;3000300
100;4;7;0.7171070936273819;3010301
100;4;7;0.6862145156904409;3020302
100;4;7;0.6701773824738407;3030303
100;4;7;0.7355408540101548;3040304
100;4;7;0.6777084175402486;3050305
100;4;7;0.70171484721954;3060306
100;4;7;0.5818269315640524;3070307
100;4;7;0.6528225356777558;3080308
100;4;7;0.6722661833147673;3090309
100;4;9;0.702258081854981;2700270
100;4;9;0.5903471604498804;2710271
100;4;9;0.706233550039525;2720272
100;4;9;0.6871359605475688;2730273
100;4;9;0.7150462840544175;2740274
100;4;9;0.6369575139275715;2750275
100;4;9;0.587914396937262;2760276
100;4;9;0.6156517805901162;2770277
100;4;9;0.7076907674772113;2780278
100;4;9;0.6487367395065613;2790279
100;4;9;0.7973560758495567;3000300
100;4;9;0.7276706436946984;3010301
100;4;9;0.6691998445313527;3020302
100;4;9;0.6492428190131427;3030303
100;4;9;0.7455733434692029;3040304
100;4;9;0.7014495915367628;3050305
100;4;9;0.7288084834967604;3060306
100;4;9;0.5699785741189131;3070307
100;4;9;0.670097406189506;3080308
100;4;9;0.667229030466926;3090309
100;6;3;0.6132015140069419;2700270
100;6;3;0.4770999794276669;2710271
100;6;3;0.6069565338982871;2720272
100;6;3;0.6103273341477726;2730273
100;6;3;0.6012723490542418;2740274
100;6;3;0.5547376361180342;2750275
100;6;3;0.5185296552640278;2760276
100;6;3;0.5398224920020057;2770277
100;6;3;0.633536011797952;2780278
100;6;3;0.5650439335922892;2790279
100;6;3;0.6935686491172559;3000300
100;6;3;0.6097223892861864;3010301
100;6;3;0.5493542542628326;3020302
100;6;3;0.5860029629975001;3030303
100;6;3;0.6447725248084407;3040304
100;6;3;0.6084018220901335;3050305
100;6;3;0.6141102178459764;3060306
100;6;3;0.487996510865837;3070307
100;6;3;0.5650307574638431;3080308
100;6;3;0.5772708412985329;3090309
100;6;5;0.6330205711434154;2700270
100;6;5;0.5143973213172155;2710271
100;6;5;0.6470707207915796;2720272
100;6;5;0.6142448402543762;2730273
100;6;5;0.6649852861122673;2740274
100;6;5;0.5684174034290849;2750275
100;6;5;0.5453217978628531;2760276
100;6;5;0.5883490001899425;2770277
100;6;5;0.6642696723298771;2780278
100;6;5;0.5826076001608304;2790279
100;6;5;0.7452521981362444;3000300
100;6;5;0.6398395521954436;3010301
100;6;5;0.5938932951244604;3020302
100;6;5;0.608495220985462;3030303
100;6;5;0.6731985124754035;3040304
100;6;5;0.6377531084192625;3050305
100;6;5;0.6325804180733502;3060306
100;6;5;0.5251188453613471;3070307
100;6;5;0.5890382470127479;3080308
100;6;5;0.6017505398765594;3090309
100;6;7;0.6568049699255982;2700270
100;6;7;0.5370837250832068;2710271
100;6;7;0.6644795620394428;2720272
100;6;7;0.6537830206734203;2730273
100;6;7;0.6930656488117292;2740274
100;6;7;0.5975402248731856;2750275
100;6;7;0.549792864241141;2760276
100;6;7;0.5761736453340144;2770277
100;6;7;0.6750858418775342;2780278
